Feature ID	Taxon	Confidence
659006d1c120e1307eaf37f99dd65242	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter;s__Acidibacter_ferrireducens	0.8946422734810513
feb69381c51b39cd3a684ba33bcf0060	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter;s__Acidibacter_ferrireducens	0.8914493292031169
49077b1cd4eb9c5ff2010015b6396630	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.9999999819717297
a4e1e2c2274ff887e71a900052c7c19a	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Incertae_Sedis	0.9999876108519334
e196eff8a0b6646c9daf71c212729295	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidiferrimicrobium;s__actinobacterium_BGR	0.9996668131042323
8f38d645418f991250b193232c0cf291	d__Bacteria	0.9996251274897627
a87e5d30ab28395c8007611ba8a0d7cf	d__Bacteria	0.9996154937894235
0b0f6b76a238e5eb780db9e417627e0d	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_heidelbergense	0.9967455297449053
c06205f525408780f5b25c973a8f2377	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__uncultured_Conexibacteraceae	0.7424008308407528
9eda3e301a6895bfc2415223d74f5dd9	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Incertae_Sedis;s__uncultured_bacterium	0.7750491160299399
2814629fcbe9fe5eed14320bd3762018	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidisoma;s__Acidisoma_sp.	0.9196786344774088
33941dfb4cf77554e1fa8c18e919ad09	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Incertae_Sedis	0.8915903880575932
cce8efe4ecfa782bffcaf35583492c5e	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__uncultured_Conexibacteraceae	0.7348777809582309
aa7620a5c1ee5ed8c37cd08cff55abe8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter;s__Acidibacter_ferrireducens	0.9001460438633545
e3c631378be2f84bc2bdeaccf83f918c	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidocella;s__uncultured_Acidocella	0.7102878857343545
2f9abd7fe638a0d847ef6f7c2a2a3446	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae	0.999999999999929
d65a4e254f60adcd047784f99f5c7995	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter;s__uncultured_Conexibacteraceae	0.7493166753400503
135765192d465fe35a209c6b4ca243a9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter;s__Acidibacter_ferrireducens	0.9065652283034247
